IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
242224,25017,Middlesex County,Massachusetts,EAST,1,01886 Westford,1886,0.32,0.19,0.07,0.94,0,3.03,0.53,0.06,98272,37979,0.425426124,0.152169036,0.069569924,0.352834916
242349,53033,King County,Washington,WEST,9,98119 Seattle,98119,0.09,0.05,0.1,0.88,0.02,1.71,0.62,0.15,49222,40315,0.415574713,0.199007394,0.033007066,0.352410828
242371,17031,Cook County,Illinois,MIDWEST,3,60477 Tinley Park,60477,0.27,0.15,0.1,0.93,0.02,2.78,0.22,0.1,62000,24862,0.552527367,0.06818505,0.157064408,0.222223175
242405,11001,District of Columbia,District of Co,SOUTH,5,20002 Washington,20002,0.21,0.12,0.13,0.18,0.78,2.25,0.25,0.28,35313,22400,0.528925436,0.032813462,0.26034774,0.177913361
242435,6113,Yolo County,California,WEST,9,95691 West Sacramento,95691,0.28,0.16,0.13,0.69,0.02,2.57,0.11,0.3,35811,17761,0.599341885,0.088434526,0.071082379,0.24114121
242496,1077,Lauderdale County,Alabama,SOUTH,6,35630 Florence,35630,0.21,0.12,0.19,0.76,0.22,2.13,0.19,0.43,24024,17525,0.750109046,0.050487103,0.139563872,0.059839979
242546,13135,Gwinnett County,Georgia,SOUTH,5,30518 Buford,30518,0.27,0.16,0.08,0.85,0.07,2.74,0.2,0.15,48609,22046,0.575116151,0.049017717,0.241003078,0.134863055
242564,42071,Lancaster County,Pennsylvania,EAST,2,17601 Lancaster,17601,0.23,0.12,0.18,0.93,0.01,2.46,0.33,0.12,54470,28256,0.504157998,0.052983747,0.184573161,0.258285094
242601,37157,Rockingham County,North Carolina,SOUTH,5,27320 Reidsville,27320,0.24,0.13,0.14,0.7,0.26,2.48,0.12,0.28,34345,17741,0.65683126,0.022451033,0.248176702,0.072541005
242662,1053,Escambia County,Alabama,SOUTH,6,36502 Atmore,36502,0.24,0.13,0.12,0.53,0.4,2.52,0.11,0.39,27186,12756,0.770420514,0.024908653,0.183953498,0.020717335
242809,53063,Spokane County,Washington,WEST,9,99205 Spokane,99205,0.25,0.14,0.15,0.92,0.01,2.4,0.19,0.24,34778,16755,0.526697033,0.047713804,0.185942596,0.239646567
242841,41005,Clackamas County,Oregon,WEST,9,97035 Lake Oswego,97035,0.24,0.12,0.1,0.9,0.01,2.32,0.5,0.1,62089,35753,0.4574835,0.112698245,0.116862501,0.312955755
